,incident_count,offense_count,data_year
0,5625,5625,2015
1,2413,2413,1992
2,204092,204092,2005
3,3052,3052,2000
4,6209,6209,2007
5,82094,82094,1997
6,903,903,1996
7,3910,3910,2014
8,162511,162511,1993
9,436104,436104,2017
10,391497,391497,2012
11,3791,3791,2015
12,1438,1438,1992
13,90774,90774,1998
14,102839,102839,2002
15,176445,176445,2004
16,5605,5605,2014
17,22117,22117,1993
18,1299,1299,1991
19,8697,8697,2001
20,1704,1704,1991
21,85692,85692,1996
22,7320,7320,2017
23,563989,563989,2004
24,7077,7077,2012
25,4555,4555,2001
26,245703,245703,2000
27,34306,34306,1994
28,80886,80886,2016
29,365390,365390,2007
30,133622,133622,2006
31,62975,62975,1996
32,5007,5007,2005
33,843988,843988,2019
34,131122,131122,2000
35,118673,118673,2009
36,1893,1893,1995
37,1209,1209,1997
38,229988,229988,2007
39,325036,325036,1999
40,194512,194512,2020
41,1091,1091,1995
42,112921,112921,2003
43,1824,1824,1998
44,4447,4447,2013
45,219479,219479,2019
46,104438,104438,2011
47,172497,172497,1998
48,6308,6308,2018
49,6538,6538,2010
50,340829,340829,2005
51,914347,914347,2020
52,6200,6200,2013
53,128936,128936,2008
54,132131,132131,1997
55,3944,3944,2018
56,107014,107014,1999
57,331289,331289,2012
58,390067,390067,2017
59,5471,5471,2010
60,174105,174105,2003
61,214014,214014,2015
62,3824,3824,2002
63,90653,90653,1991
64,9349,9349,2004
65,452512,452512,2001
66,70411,70411,2000
67,293415,293415,2009
68,69524,69524,1994
69,423196,423196,2016
70,25002,25002,1992
71,127253,127253,2007
72,200217,200217,2006
73,36513,36513,1996
74,5971,5971,2004
75,222097,222097,2014
76,1090,1090,1993
77,85734,85734,2017
78,17295,17295,1991
79,94775,94775,2012
80,659157,659157,2015
81,430,430,1994
82,7194,7194,2016
83,257024,257024,2008
84,673895,673895,2014
85,2533,2533,1993
86,120099,120099,1992
87,160727,160727,2001
88,301162,301162,2002
89,290203,290203,2011
90,649818,649818,2010
91,3969,3969,2003
92,5009,5009,2020
93,387586,387586,2011
94,711662,711662,2018
95,41897,41897,1998
96,167668,167668,2002
97,5853,5853,2006
98,134495,134495,2005
99,6113,6113,2009
100,379720,379720,2008
101,41083,41083,1997
102,698405,698405,2013
103,7010,7010,2020
104,38206,38206,1995
105,414142,414142,2009
106,7819,7819,2019
107,197179,197179,2018
108,6171,6171,2008
109,54559,54559,1994
110,387829,387829,2016
111,357646,357646,2006
112,213582,213582,2010
113,4862,4862,1999
114,234070,234070,2013
115,4782,4782,2019
116,290198,290198,2003
117,142996,142996,1995
118,6020,6020,2011
119,2782,2782,1999
120,102561,102561,1999
121,21980,21980,1991
122,204493,204493,2017
123,237507,237507,2012
124,2234,2234,1994
125,3657,3657,2016
126,308000,308000,2004
127,336,336,1993
128,178529,178529,1996
129,1058,1058,1994
130,6073,6073,2016
131,654468,654468,2007
132,86583,86583,2001
133,425705,425705,2000
134,505204,505204,2019
135,9046,9046,2002
136,502563,502563,2020
137,77496,77496,2015
138,682679,682679,2017
139,4439,4439,2004
140,67110,67110,1993
141,717995,717995,2012
142,4888,4888,2002
143,142667,142667,2000
144,33521,33521,1992
145,205812,205812,2007
146,50289,50289,1996
147,79405,79405,2014
148,6276,6276,2008
149,6072,6072,2011
150,281363,281363,1998
151,95961,95961,2018
152,2109,2109,1999
153,115177,115177,2010
154,237725,237725,1997
155,6877,6877,2008
156,86898,86898,2013
157,657197,657197,2020
158,5684,5684,2011
159,621012,621012,2005
160,9751,9751,2019
161,53711,53711,1993
162,194086,194086,2004
163,6999,6999,2006
164,8703,8703,2020
165,6924,6924,2009
166,565548,565548,2019
167,9517,9517,2003
168,88867,88867,1998
169,192641,192641,1999
170,8282,8282,2006
171,194430,194430,2005
172,6080,6080,2009
173,72235,72235,1997
174,5049,5049,2003
175,30993,30993,1995
176,35987,35987,1993
177,5928,5928,2017
178,6364,6364,2012
179,350693,350693,2013
180,380920,380920,2015
181,3656,3656,2001
182,3885,3885,2017
183,277907,277907,2010
184,5709,5709,2012
185,6428,6428,1991
186,356587,356587,2014
187,466657,466657,2002
188,415107,415107,2018
189,24939,24939,1994
190,209612,209612,2016
191,57002,57002,1992
192,6971,6971,2007
193,11391,11391,1992
194,49438,49438,1995
195,6630,6630,2000
196,6836,6836,2014
197,42937,42937,1991
198,2322,2322,1996
199,164397,164397,1994
200,671341,671341,2016
201,6842,6842,2007
202,160409,160409,2002
203,280787,280787,2001
204,7192,7192,2015
205,3811,3811,2000
206,119456,119456,2004
207,1325,1325,1996
208,6973,6973,2013
209,226382,226382,2011
210,114779,114779,2019
211,616521,616521,2009
212,156354,156354,2001
213,649610,649610,2006
214,7686,7686,2018
215,202265,202265,2008
216,67358,67358,1995
217,489699,489699,2003
218,46706,46706,1999
219,5867,5867,2010
220,37783,37783,1991
221,204325,204325,2006
222,406194,406194,2010
223,374148,374148,2014
224,201895,201895,2009
225,688624,688624,2011
226,3285,3285,1997
227,2286,2286,1998
228,465010,465010,2018
229,8636,8636,2005
230,47059,47059,1992
231,686,686,1995
232,373265,373265,2013
233,164192,164192,2020
234,647328,647328,2008
235,1745,1745,1997
236,163445,163445,2003
237,3767,3767,1998
238,6632,6632,2005
239,393009,393009,2015
