,seriesID,year,month,rate,footnotes
0,LNS14000000,2020,M12,6.7,
1,LNS14000000,2020,M11,6.7,
2,LNS14000000,2020,M10,6.9,
3,LNS14000000,2020,M09,7.8,
4,LNS14000000,2020,M08,8.4,
5,LNS14000000,2020,M07,10.2,
6,LNS14000000,2020,M06,11.1,
7,LNS14000000,2020,M05,13.3,
8,LNS14000000,2020,M04,14.8,
9,LNS14000000,2020,M03,4.4,
10,LNS14000000,2020,M02,3.5,
11,LNS14000000,2020,M01,3.5,
12,LNS14000000,2019,M12,3.6,
13,LNS14000000,2019,M11,3.6,
14,LNS14000000,2019,M10,3.6,
15,LNS14000000,2019,M09,3.5,
16,LNS14000000,2019,M08,3.7,
17,LNS14000000,2019,M07,3.6,
18,LNS14000000,2019,M06,3.6,
19,LNS14000000,2019,M05,3.7,
20,LNS14000000,2019,M04,3.7,
21,LNS14000000,2019,M03,3.8,
22,LNS14000000,2019,M02,3.8,
23,LNS14000000,2019,M01,4.0,
24,LNS14000000,2018,M12,3.9,
25,LNS14000000,2018,M11,3.8,
26,LNS14000000,2018,M10,3.8,
27,LNS14000000,2018,M09,3.7,
28,LNS14000000,2018,M08,3.8,
29,LNS14000000,2018,M07,3.8,
30,LNS14000000,2018,M06,4.0,
31,LNS14000000,2018,M05,3.8,
32,LNS14000000,2018,M04,4.0,
33,LNS14000000,2018,M03,4.0,
34,LNS14000000,2018,M02,4.1,
35,LNS14000000,2018,M01,4.0,
36,LNS14000000,2017,M12,4.1,
37,LNS14000000,2017,M11,4.2,
38,LNS14000000,2017,M10,4.1,
39,LNS14000000,2017,M09,4.2,
40,LNS14000000,2017,M08,4.4,
41,LNS14000000,2017,M07,4.3,
42,LNS14000000,2017,M06,4.3,
43,LNS14000000,2017,M05,4.4,
44,LNS14000000,2017,M04,4.5,
45,LNS14000000,2017,M03,4.4,
46,LNS14000000,2017,M02,4.6,
47,LNS14000000,2017,M01,4.7,
48,LNS14000000,2016,M12,4.7,
49,LNS14000000,2016,M11,4.7,
50,LNS14000000,2016,M10,4.9,
51,LNS14000000,2016,M09,5.0,
52,LNS14000000,2016,M08,4.9,
53,LNS14000000,2016,M07,4.8,
54,LNS14000000,2016,M06,4.9,
55,LNS14000000,2016,M05,4.8,
56,LNS14000000,2016,M04,5.1,
57,LNS14000000,2016,M03,5.0,
58,LNS14000000,2016,M02,4.9,
59,LNS14000000,2016,M01,4.8,
60,LNS14000000,2015,M12,5.0,
61,LNS14000000,2015,M11,5.1,
62,LNS14000000,2015,M10,5.0,
63,LNS14000000,2015,M09,5.0,
64,LNS14000000,2015,M08,5.1,
65,LNS14000000,2015,M07,5.2,
66,LNS14000000,2015,M06,5.3,
67,LNS14000000,2015,M05,5.6,
68,LNS14000000,2015,M04,5.4,
69,LNS14000000,2015,M03,5.4,
70,LNS14000000,2015,M02,5.5,
71,LNS14000000,2015,M01,5.7,
72,LNS14000000,2014,M12,5.6,
73,LNS14000000,2014,M11,5.8,
74,LNS14000000,2014,M10,5.7,
75,LNS14000000,2014,M09,5.9,
76,LNS14000000,2014,M08,6.1,
77,LNS14000000,2014,M07,6.2,
78,LNS14000000,2014,M06,6.1,
79,LNS14000000,2014,M05,6.3,
80,LNS14000000,2014,M04,6.2,
81,LNS14000000,2014,M03,6.7,
82,LNS14000000,2014,M02,6.7,
83,LNS14000000,2014,M01,6.6,
84,LNS14000000,2013,M12,6.7,
85,LNS14000000,2013,M11,6.9,
86,LNS14000000,2013,M10,7.2,
87,LNS14000000,2013,M09,7.2,
88,LNS14000000,2013,M08,7.2,
89,LNS14000000,2013,M07,7.3,
90,LNS14000000,2013,M06,7.5,
91,LNS14000000,2013,M05,7.5,
92,LNS14000000,2013,M04,7.6,
93,LNS14000000,2013,M03,7.5,
94,LNS14000000,2013,M02,7.7,
95,LNS14000000,2013,M01,8.0,
96,LNS14000000,2012,M12,7.9,
97,LNS14000000,2012,M11,7.7,
98,LNS14000000,2012,M10,7.8,
99,LNS14000000,2012,M09,7.8,
100,LNS14000000,2012,M08,8.1,
101,LNS14000000,2012,M07,8.2,
102,LNS14000000,2012,M06,8.2,
103,LNS14000000,2012,M05,8.2,
104,LNS14000000,2012,M04,8.2,
105,LNS14000000,2012,M03,8.2,
106,LNS14000000,2012,M02,8.3,
107,LNS14000000,2012,M01,8.3,
108,LNS14000000,2011,M12,8.5,
109,LNS14000000,2011,M11,8.6,
110,LNS14000000,2011,M10,8.8,
111,LNS14000000,2011,M09,9.0,
112,LNS14000000,2011,M08,9.0,
113,LNS14000000,2011,M07,9.0,
114,LNS14000000,2011,M06,9.1,
115,LNS14000000,2011,M05,9.0,
116,LNS14000000,2011,M04,9.1,
117,LNS14000000,2011,M03,9.0,
118,LNS14000000,2011,M02,9.0,
119,LNS14000000,2011,M01,9.1,
