Macrotrends Data Download,,,,,<a href='https://www.macrotrends.net/countries/USA/united-states/population'>U.S. Population 1950-2021</a>
,,,,,
U.S. Population 1950-2021,,,,,
Original Source: United Nations - World Population Prospects,,,,,
,,,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,,,
,,,,,
,,,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,,,
,,,,,
,,,,,
date, Population, Annual % Change,,,
12/31/1950,158804395,,,,
12/31/1951,160872266,1.3,,,
12/31/1952,163266028,1.49,,,
12/31/1953,165910003,1.62,,,
12/31/1954,168736387,1.7,,,
12/31/1955,171685336,1.75,,,
12/31/1956,174705003,1.76,,,
12/31/1957,177751483,1.74,,,
12/31/1958,180788392,1.71,,,
12/31/1959,183786252,1.66,,,
12/31/1960,186720571,1.6,,,
12/31/1961,189569843,1.53,,,
12/31/1962,192313746,1.45,,,
12/31/1963,194932403,1.36,,,
12/31/1964,197408505,1.27,,,
12/31/1965,199733676,1.18,,,
12/31/1966,201895760,1.08,,,
12/31/1967,203905080,1,,,
12/31/1968,205805754,0.93,,,
12/31/1969,207659263,0.9,,,
12/31/1970,209513341,0.89,,,
12/31/1971,211384068,0.89,,,
12/31/1972,213269802,0.89,,,
12/31/1973,215178797,0.9,,,
12/31/1974,217114909,0.9,,,
12/31/1975,219081251,0.91,,,
12/31/1976,221086429,0.92,,,
12/31/1977,223135663,0.93,,,
12/31/1978,225223303,0.94,,,
12/31/1979,227339318,0.94,,,
12/31/1980,229476354,0.94,,,
12/31/1981,231636058,0.94,,,
12/31/1982,233821844,0.94,,,
12/31/1983,236030238,0.94,,,
12/31/1984,238256844,0.94,,,
12/31/1985,240499825,0.94,,,
12/31/1986,242763148,0.94,,,
12/31/1987,245052789,0.94,,,
12/31/1988,247372264,0.95,,,
12/31/1989,249725805,0.95,,,
12/31/1990,252120309,0.96,,,
12/31/1991,254539370,0.96,,,
12/31/1992,256990613,0.96,,,
12/31/1993,259532129,0.99,,,
12/31/1994,262241196,1.04,,,
12/31/1995,265163745,1.11,,,
12/31/1996,268335003,1.2,,,
12/31/1997,271713635,1.26,,,
12/31/1998,275175301,1.27,,,
12/31/1999,278548150,1.23,,,
12/31/2000,281710909,1.14,,,
12/31/2001,284607993,1.03,,,
12/31/2002,287279318,0.94,,,
12/31/2003,289815562,0.88,,,
12/31/2004,292354658,0.88,,,
12/31/2005,294993511,0.9,,,
12/31/2006,297758969,0.94,,,
12/31/2007,300608429,0.96,,,
12/31/2008,303486012,0.96,,,
12/31/2009,306307567,0.93,,,
12/31/2010,309011475,0.88,,,
12/31/2011,311584047,0.83,,,
12/31/2012,314043885,0.79,,,
12/31/2013,316400538,0.75,,,
12/31/2014,318673411,0.72,,,
12/31/2015,320878310,0.69,,,
12/31/2016,323015995,0.67,,,
12/31/2017,325084756,0.64,,,
12/31/2018,327096265,0.62,,,
12/31/2019,329064917,0.6,,,
12/31/2020,331002651,0.59,,,
12/31/2021,332915073,0.58,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
